NUM ITERATIONS:	4381
FINAL VALUES:	3.8994e-05	0	0	
writing to: output_1.txt

V1(t) and V2(t) have finished calculating and is located in output_1.txt

Begin parameter extraction for a2/a1, tau1, tau2
3.86439e+156 -1.80369e-05 5e-08
3.40009e+156 -1.80305e-05 5e-08
2.63215e+156 -1.80177e-05 5e-08
1.57744e+156 -1.79921e-05 5e-08
9.45353e+155 -1.79665e-05 5e-08
5.66546e+155 -1.79409e-05 5e-08
3.39529e+155 -1.79153e-05 5e-08
2.62843e+155 -1.79025e-05 5e-08
2.31264e+155 -1.78961e-05 5e-08
2.16926e+155 -1.78929e-05 5e-08
2.03478e+155 -1.78897e-05 5e-08
1.90863e+155 -1.78865e-05 5e-08
1.79031e+155 -1.78833e-05 5e-08
1.67932e+155 -1.78801e-05 5e-08
1.57521e+155 -1.78769e-05 5e-08
1.38595e+155 -1.78705e-05 5e-08
1.21944e+155 -1.78641e-05 5e-08
9.44016e+154 -1.78513e-05 5e-08
5.65745e+154 -1.78257e-05 5e-08
2.0319e+154 -1.77745e-05 5e-08
7.29769e+153 -1.77233e-05 5e-08
4.37348e+153 -1.76977e-05 5e-08
3.38569e+153 -1.76849e-05 5e-08
2.97891e+153 -1.76785e-05 5e-08
2.79423e+153 -1.76753e-05 5e-08
2.62101e+153 -1.76721e-05 5e-08
2.45852e+153 -1.76689e-05 5e-08
2.3061e+153 -1.76657e-05 5e-08
2.16313e+153 -1.76625e-05 5e-08
2.02903e+153 -1.76593e-05 5e-08
1.90324e+153 -1.76561e-05 5e-08
1.78525e+153 -1.76529e-05 5e-08
1.67457e+153 -1.76497e-05 5e-08
1.57076e+153 -1.76465e-05 5e-08
1.47338e+153 -1.76433e-05 5e-08
1.29636e+153 -1.76369e-05 5e-08
1.1406e+153 -1.76305e-05 5e-08
8.8299e+152 -1.76177e-05 5e-08
5.29172e+152 -1.75921e-05 5e-08
3.1713e+152 -1.75665e-05 5e-08
1.90055e+152 -1.75409e-05 5e-08
1.13899e+152 -1.75153e-05 5e-08
8.81741e+151 -1.75025e-05 5e-08
7.75803e+151 -1.74961e-05 5e-08
7.27707e+151 -1.74929e-05 5e-08
6.82593e+151 -1.74897e-05 5e-08
6.40275e+151 -1.74865e-05 5e-08
